id,manglish,malayalam,english
4298,njanu coffee panee cheyyunnu,ഞാൻ കാപ്പി ജോലി ചെയ്യുന്നു,I is working coffee
4299,avalu offeeceeel padikkoonnoo,അവൾ ഓഫീസിൽ പഠിക്കുന്നു,she is studying at office
4300,avalu offeeceeel oorangoonnoo,അവൾ ഓഫീസിൽ ഉറങ്ങുന്നു,she is sleeping at office
4301,aval coffi padikkoonnoo,അവൾ കാപ്പി പഠിക്കുന്നു,she is studying coffee
4302,njanu offeeceeel varunnuu,ഞാൻ ഓഫീസിൽ വരുന്നു,I is coming at office
4303,avanu officeilu varunnu,അവൻ ഓഫീസിൽ വരുന്നു,he is coming at office
4304,avanu veettilu pani cheyyunnu,അവൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,he is working at home
4305,nammal coffi padeekkunnu,നാം കാപ്പി പഠിക്കുന്നു,we is studying coffee
4306,nee chaayau kazhikkunnuu,നീ ചായ കഴിക്കുന്നു,you is eating tea
4307,nammalu schooleel kazhikkoonnoo,നാം സ്കൂളിൽ കഴിക്കുന്നു,we is eating at school
4308,ni schoolilu padikkunnuu,നീ സ്കൂളിൽ പഠിക്കുന്നു,you is studying at school
4309,avanu chaayau pokunnuu,അവൻ ചായ പോകുന്നു,he is going tea
4310,njanu pusthakamu urangunnu,ഞാൻ പുസ്തകം ഉറങ്ങുന്നു,I is sleeping book
4311,nammalu officeilu padikkunnuu,നാം ഓഫീസിൽ പഠിക്കുന്നു,we is studying at office
4312,nammalu pusthakamu kazheekkunnu,നാം പുസ്തകം കഴിക്കുന്നു,we is eating book
4313,njanu offeeceeel kazhikkunnuu,ഞാൻ ഓഫീസിൽ കഴിക്കുന്നു,I is eating at office
4314,njan officeilu padikkunnuu,ഞാൻ ഓഫീസിൽ പഠിക്കുന്നു,I is studying at office
4315,nee veetteel pokoonnoo,നീ വീട്ടിൽ പോകുന്നു,you is going at home
4316,nammalu pusthakamu pokunnu,നാം പുസ്തകം പോകുന്നു,we is going book
4317,nammalu offeeceeel kazhikkunnu,നാം ഓഫീസിൽ കഴിക്കുന്നു,we is eating at office
4318,ni officeilu urangunnuu,നീ ഓഫീസിൽ ഉറങ്ങുന്നു,you is sleeping at office
4319,avanu schoolil padikkoonnoo,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
4320,avanu veettilu kazhikkoonnoo,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
4321,nee vittil kazhikkoonnoo,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
4322,avalu poosthakam oorangoonnoo,അവൾ പുസ്തകം ഉറങ്ങുന്നു,she is sleeping book
4323,avanu schooleel padikkoonnoo,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
4324,njanu pusthakamu kazheekkunnu,ഞാൻ പുസ്തകം കഴിക്കുന്നു,I is eating book
4325,nee veettilu kazhikkoonnoo,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
4326,avalu chaya varoonnoo,അവൾ ചായ വരുന്നു,she is coming tea
4327,avanu offeeceeel padikkoonnoo,അവൻ ഓഫീസിൽ പഠിക്കുന്നു,he is studying at office
4328,nammalu veettil kazheekkunnu,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
4329,njanu coffeeu panee cheyyunnu,ഞാൻ കാപ്പി ജോലി ചെയ്യുന്നു,I is working coffee
4330,avalu coffi pani cheyyunnuu,അവൾ കാപ്പി ജോലി ചെയ്യുന്നു,she is working coffee
4331,nammalu coffeeu varunnuu,നാം കാപ്പി വരുന്നു,we is coming coffee
4332,aval pusthakamu pokunnuu,അവൾ പുസ്തകം പോകുന്നു,she is going book
4333,nammalu coffi pokoonnoo,നാം കാപ്പി പോകുന്നു,we is going coffee
4334,avalu offeeceeel kazhikkunnu,അവൾ ഓഫീസിൽ കഴിക്കുന്നു,she is eating at office
4335,neeu officeilu pokoonnoo,നീ ഓഫീസിൽ പോകുന്നു,you is going at office
4336,avalu schooleel padikkunnu,അവൾ സ്കൂളിൽ പഠിക്കുന്നു,she is studying at school
4337,avalu coffeeu pokunnuu,അവൾ കാപ്പി പോകുന്നു,she is going coffee
4338,nammal chaayau padikkoonnoo,നാം ചായ പഠിക്കുന്നു,we is studying tea
4339,nammal chaya kazhikkoonnoo,നാം ചായ കഴിക്കുന്നു,we is eating tea
4340,avanu offeeceeel pani cheyyoonnoo,അവൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,he is working at office
4341,njanu chaya padikkunnu,ഞാൻ ചായ പഠിക്കുന്നു,I is studying tea
4342,avanu veetteel pani cheyyoonnoo,അവൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,he is working at home
4343,nammal chaya pani cheyyunnuu,നാം ചായ ജോലി ചെയ്യുന്നു,we is working tea
4344,ni vittil padikkoonnoo,നീ വീട്ടിൽ പഠിക്കുന്നു,you is studying at home
4345,nammal offeeceeel oorangoonnoo,നാം ഓഫീസിൽ ഉറങ്ങുന്നു,we is sleeping at office
4346,ni vellam pokunnuu,നീ വെള്ളം പോകുന്നു,you is going water
4347,njanu schulil kazheekkunnu,ഞാൻ സ്കൂളിൽ കഴിക്കുന്നു,I is eating at school
4348,ni coffee padeekkunnu,നീ കാപ്പി പഠിക്കുന്നു,you is studying coffee
4349,ni vellam urangunnuu,നീ വെള്ളം ഉറങ്ങുന്നു,you is sleeping water
4350,avalu officeilu padeekkunnu,അവൾ ഓഫീസിൽ പഠിക്കുന്നു,she is studying at office
4351,ni pusthakamu kazheekkunnu,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
4352,neeu veetteel pokoonnoo,നീ വീട്ടിൽ പോകുന്നു,you is going at home
4353,avalu veettil kazhikkunnuu,അവൾ വീട്ടിൽ കഴിക്കുന്നു,she is eating at home
4354,neeu pusthakamu varunnu,നീ പുസ്തകം വരുന്നു,you is coming book
4355,avanu poosthakam urangunnu,അവൻ പുസ്തകം ഉറങ്ങുന്നു,he is sleeping book
4356,neeu coffeeu pani cheyyoonnoo,നീ കാപ്പി ജോലി ചെയ്യുന്നു,you is working coffee
4357,njanu schooleel pani cheyyunnuu,ഞാൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,I is working at school
4358,avalu offeeceeel urangunnuu,അവൾ ഓഫീസിൽ ഉറങ്ങുന്നു,she is sleeping at office
4359,njanu officeilu varoonnoo,ഞാൻ ഓഫീസിൽ വരുന്നു,I is coming at office
4360,avalu poosthakam padikkunnu,അവൾ പുസ്തകം പഠിക്കുന്നു,she is studying book
4361,nammalu officeilu kazhikkunnuu,നാം ഓഫീസിൽ കഴിക്കുന്നു,we is eating at office
4362,nammalu chaayau kazhikkoonnoo,നാം ചായ കഴിക്കുന്നു,we is eating tea
4363,avalu poosthakam padikkoonnoo,അവൾ പുസ്തകം പഠിക്കുന്നു,she is studying book
4364,avalu veetteel varoonnoo,അവൾ വീട്ടിൽ വരുന്നു,she is coming at home
4365,njanu coffi urangunnu,ഞാൻ കാപ്പി ഉറങ്ങുന്നു,I is sleeping coffee
4366,njanu schooleel panee cheyyunnu,ഞാൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,I is working at school
4367,neeu pusthakam urangunnuu,നീ പുസ്തകം ഉറങ്ങുന്നു,you is sleeping book
4368,avanu veetteel kazhikkunnuu,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
4369,nammalu schooleel padikkunnu,നാം സ്കൂളിൽ പഠിക്കുന്നു,we is studying at school
4370,nammal coffeeu pokoonnoo,നാം കാപ്പി പോകുന്നു,we is going coffee
4371,njanu coffeeu pani cheyyunnuu,ഞാൻ കാപ്പി ജോലി ചെയ്യുന്നു,I is working coffee
4372,neeu veettilu varoonnoo,നീ വീട്ടിൽ വരുന്നു,you is coming at home
4373,neeu schoolilu pani cheyyunnuu,നീ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,you is working at school
4374,njanu poosthakam pokunnu,ഞാൻ പുസ്തകം പോകുന്നു,I is going book
4375,avanu coffi panee cheyyunnu,അവൻ കാപ്പി ജോലി ചെയ്യുന്നു,he is working coffee
4376,nammalu schulil kazhikkoonnoo,നാം സ്കൂളിൽ കഴിക്കുന്നു,we is eating at school
4377,nammalu vellamu varunnu,നാം വെള്ളം വരുന്നു,we is coming water
4378,njanu schulil pokoonnoo,ഞാൻ സ്കൂളിൽ പോകുന്നു,I is going at school
4379,avanu schoolilu kazheekkunnu,അവൻ സ്കൂളിൽ കഴിക്കുന്നു,he is eating at school
4380,nammalu coffi varunnuu,നാം കാപ്പി വരുന്നു,we is coming coffee
4381,neeu chaya varunnuu,നീ ചായ വരുന്നു,you is coming tea
4382,nammalu schulil urangunnu,നാം സ്കൂളിൽ ഉറങ്ങുന്നു,we is sleeping at school
4383,ni chaaya urangunnuu,നീ ചായ ഉറങ്ങുന്നു,you is sleeping tea
4384,njan veetteel padeekkunnu,ഞാൻ വീട്ടിൽ പഠിക്കുന്നു,I is studying at home
4385,avanu veettilu pokoonnoo,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
4386,njanu officeilu oorangoonnoo,ഞാൻ ഓഫീസിൽ ഉറങ്ങുന്നു,I is sleeping at office
4387,njan coffi pokoonnoo,ഞാൻ കാപ്പി പോകുന്നു,I is going coffee
4388,nammalu chaya kazhikkunnu,നാം ചായ കഴിക്കുന്നു,we is eating tea
4389,avanu offeeceeel oorangoonnoo,അവൻ ഓഫീസിൽ ഉറങ്ങുന്നു,he is sleeping at office
4390,avanu schoolilu pani cheyyunnuu,അവൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,he is working at school
4391,neeu schooleel urangunnuu,നീ സ്കൂളിൽ ഉറങ്ങുന്നു,you is sleeping at school
4392,avanu chaaya padikkoonnoo,അവൻ ചായ പഠിക്കുന്നു,he is studying tea
4393,avanu schooleel kazhikkunnuu,അവൻ സ്കൂളിൽ കഴിക്കുന്നു,he is eating at school
4394,nammalu schooleel pani cheyyoonnoo,നാം സ്കൂളിൽ ജോലി ചെയ്യുന്നു,we is working at school
4395,njan vellamu padikkunnuu,ഞാൻ വെള്ളം പഠിക്കുന്നു,I is studying water
4396,neeu poosthakam kazheekkunnu,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
4397,nammalu chaaya varoonnoo,നാം ചായ വരുന്നു,we is coming tea
4398,avanu veettilu kazhikkunnuu,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
4399,avalu coffeeu pani cheyyoonnoo,അവൾ കാപ്പി ജോലി ചെയ്യുന്നു,she is working coffee
4400,neeu chaayau pokunnu,നീ ചായ പോകുന്നു,you is going tea
4401,nammalu offeeceeel kazhikkunnuu,നാം ഓഫീസിൽ കഴിക്കുന്നു,we is eating at office
4402,nammalu chaaya pokunnuu,നാം ചായ പോകുന്നു,we is going tea
4403,nee schooleel oorangoonnoo,നീ സ്കൂളിൽ ഉറങ്ങുന്നു,you is sleeping at school
4404,neeu schulil varunnuu,നീ സ്കൂളിൽ വരുന്നു,you is coming at school
4405,njan schoolilu pani cheyyunnuu,ഞാൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,I is working at school
4406,neeu pusthakamu kazhikkoonnoo,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
4407,ni pusthakamu pokunnu,നീ പുസ്തകം പോകുന്നു,you is going book
4408,avan vittil kazhikkoonnoo,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
4409,ni schulil oorangoonnoo,നീ സ്കൂളിൽ ഉറങ്ങുന്നു,you is sleeping at school
4410,nammalu poosthakam pani cheyyunnuu,നാം പുസ്തകം ജോലി ചെയ്യുന്നു,we is working book
4411,avan chaya padikkunnuu,അവൻ ചായ പഠിക്കുന്നു,he is studying tea
4412,njanu poosthakam kazhikkunnu,ഞാൻ പുസ്തകം കഴിക്കുന്നു,I is eating book
4413,nammal coffi pokunnuu,നാം കാപ്പി പോകുന്നു,we is going coffee
4414,avalu chaayau padikkunnu,അവൾ ചായ പഠിക്കുന്നു,she is studying tea
4415,neeu chaayau varoonnoo,നീ ചായ വരുന്നു,you is coming tea
4416,njanu chaya varunnuu,ഞാൻ ചായ വരുന്നു,I is coming tea
4417,avanu offeeceeel pani cheyyunnuu,അവൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,he is working at office
4418,nammalu veetteel varoonnoo,നാം വീട്ടിൽ വരുന്നു,we is coming at home
4419,nammal chaayau pokoonnoo,നാം ചായ പോകുന്നു,we is going tea
4420,neeu officeil pokunnuu,നീ ഓഫീസിൽ പോകുന്നു,you is going at office
4421,avalu officeilu padikkunnu,അവൾ ഓഫീസിൽ പഠിക്കുന്നു,she is studying at office
4422,nammalu veettil kazhikkoonnoo,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
4423,avalu coffeeu varoonnoo,അവൾ കാപ്പി വരുന്നു,she is coming coffee
4424,nee coffi pani cheyyunnuu,നീ കാപ്പി ജോലി ചെയ്യുന്നു,you is working coffee
4425,nammalu chaya oorangoonnoo,നാം ചായ ഉറങ്ങുന്നു,we is sleeping tea
4426,nammalu vittil padikkunnu,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
4427,aval vellamu pani cheyyoonnoo,അവൾ വെള്ളം ജോലി ചെയ്യുന്നു,she is working water
4428,nammalu schoolilu urangunnu,നാം സ്കൂളിൽ ഉറങ്ങുന്നു,we is sleeping at school
4429,nee pusthakamu oorangoonnoo,നീ പുസ്തകം ഉറങ്ങുന്നു,you is sleeping book
4430,neeu veettilu pani cheyyunnuu,നീ വീട്ടിൽ ജോലി ചെയ്യുന്നു,you is working at home
4431,nammal chaya varunnuu,നാം ചായ വരുന്നു,we is coming tea
4432,neeu vittil kazhikkoonnoo,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
4433,nammalu offeeceeel padikkoonnoo,നാം ഓഫീസിൽ പഠിക്കുന്നു,we is studying at office
4434,nee vellamu varoonnoo,നീ വെള്ളം വരുന്നു,you is coming water
4435,avalu vittil kazhikkunnuu,അവൾ വീട്ടിൽ കഴിക്കുന്നു,she is eating at home
4436,nammalu veetteel padikkunnuu,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
4437,njanu vittil pokoonnoo,ഞാൻ വീട്ടിൽ പോകുന്നു,I is going at home
4438,neeu vellamu kazhikkoonnoo,നീ വെള്ളം കഴിക്കുന്നു,you is eating water
4439,avalu schoolil pani cheyyoonnoo,അവൾ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,she is working at school
4440,nammalu coffeeu pani cheyyunnu,നാം കാപ്പി ജോലി ചെയ്യുന്നു,we is working coffee
4441,ni schoolil varunnuu,നീ സ്കൂളിൽ വരുന്നു,you is coming at school
4442,nammalu poosthakam padikkoonnoo,നാം പുസ്തകം പഠിക്കുന്നു,we is studying book
4443,avalu pusthakamu padeekkunnu,അവൾ പുസ്തകം പഠിക്കുന്നു,she is studying book
4444,njanu schoolilu kazhikkunnuu,ഞാൻ സ്കൂളിൽ കഴിക്കുന്നു,I is eating at school
4445,avanu offeeceeel varunnuu,അവൻ ഓഫീസിൽ വരുന്നു,he is coming at office
4446,nammalu schulil varoonnoo,നാം സ്കൂളിൽ വരുന്നു,we is coming at school
4447,ni schoolilu kazheekkunnu,നീ സ്കൂളിൽ കഴിക്കുന്നു,you is eating at school
4448,nammalu chaayau kazhikkunnuu,നാം ചായ കഴിക്കുന്നു,we is eating tea
4449,ni officeil kazheekkunnu,നീ ഓഫീസിൽ കഴിക്കുന്നു,you is eating at office
4450,njan vittil kazhikkunnuu,ഞാൻ വീട്ടിൽ കഴിക്കുന്നു,I is eating at home
4451,ni chaayau pani cheyyunnu,നീ ചായ ജോലി ചെയ്യുന്നു,you is working tea
4452,ni coffeeu urangunnuu,നീ കാപ്പി ഉറങ്ങുന്നു,you is sleeping coffee
4453,avanu officeilu kazheekkunnu,അവൻ ഓഫീസിൽ കഴിക്കുന്നു,he is eating at office
4454,njan coffeeu pokoonnoo,ഞാൻ കാപ്പി പോകുന്നു,I is going coffee
4455,avan schooleel pokunnuu,അവൻ സ്കൂളിൽ പോകുന്നു,he is going at school
4456,njanu veettilu pani cheyyunnu,ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,I is working at home
4457,nammal schoolilu kazheekkunnu,നാം സ്കൂളിൽ കഴിക്കുന്നു,we is eating at school
4458,nee vittil padikkoonnoo,നീ വീട്ടിൽ പഠിക്കുന്നു,you is studying at home
4459,neeu schulil pokoonnoo,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
4460,neeu chaayau urangunnuu,നീ ചായ ഉറങ്ങുന്നു,you is sleeping tea
4461,ni veettilu pani cheyyoonnoo,നീ വീട്ടിൽ ജോലി ചെയ്യുന്നു,you is working at home
4462,nammalu pusthakamu pokoonnoo,നാം പുസ്തകം പോകുന്നു,we is going book
4463,njanu offeeceeel kazhikkunnu,ഞാൻ ഓഫീസിൽ കഴിക്കുന്നു,I is eating at office
4464,njan chaayau pokoonnoo,ഞാൻ ചായ പോകുന്നു,I is going tea
4465,avanu veetteel pokunnu,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
4466,avanu pusthakamu pokoonnoo,അവൻ പുസ്തകം പോകുന്നു,he is going book
4467,avanu officeilu pani cheyyunnuu,അവൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,he is working at office
4468,neeu schulil kazheekkunnu,നീ സ്കൂളിൽ കഴിക്കുന്നു,you is eating at school
4469,nammalu coffee oorangoonnoo,നാം കാപ്പി ഉറങ്ങുന്നു,we is sleeping coffee
4470,ni offeeceeel pokunnuu,നീ ഓഫീസിൽ പോകുന്നു,you is going at office
4471,avanu veettilu urangunnuu,അവൻ വീട്ടിൽ ഉറങ്ങുന്നു,he is sleeping at home
4472,ni poosthakam panee cheyyunnu,നീ പുസ്തകം ജോലി ചെയ്യുന്നു,you is working book
4473,njanu vellamu padikkunnu,ഞാൻ വെള്ളം പഠിക്കുന്നു,I is studying water
4474,njanu coffi pokoonnoo,ഞാൻ കാപ്പി പോകുന്നു,I is going coffee
4475,nammalu vittil kazhikkunnu,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
4476,avan vellamu pokunnuu,അവൻ വെള്ളം പോകുന്നു,he is going water
4477,njanu coffee kazhikkoonnoo,ഞാൻ കാപ്പി കഴിക്കുന്നു,I is eating coffee
4478,avan poosthakam urangunnuu,അവൻ പുസ്തകം ഉറങ്ങുന്നു,he is sleeping book
4479,nee schulil padikkunnuu,നീ സ്കൂളിൽ പഠിക്കുന്നു,you is studying at school
4480,nammalu veettilu kazhikkunnuu,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
4481,avanu coffeeu pokoonnoo,അവൻ കാപ്പി പോകുന്നു,he is going coffee
4482,nammalu vittil padikkoonnoo,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
4483,ni vittil oorangoonnoo,നീ വീട്ടിൽ ഉറങ്ങുന്നു,you is sleeping at home
4484,avalu coffeeu panee cheyyunnu,അവൾ കാപ്പി ജോലി ചെയ്യുന്നു,she is working coffee
4485,nammalu vittil oorangoonnoo,നാം വീട്ടിൽ ഉറങ്ങുന്നു,we is sleeping at home
4486,avalu veetteel kazheekkunnu,അവൾ വീട്ടിൽ കഴിക്കുന്നു,she is eating at home
4487,avanu poosthakam kazhikkoonnoo,അവൻ പുസ്തകം കഴിക്കുന്നു,he is eating book
4488,avan vellamu varunnuu,അവൻ വെള്ളം വരുന്നു,he is coming water
4489,ni veettilu kazhikkunnuu,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
4490,ni pusthakamu oorangoonnoo,നീ പുസ്തകം ഉറങ്ങുന്നു,you is sleeping book
4491,njanu poosthakam urangunnuu,ഞാൻ പുസ്തകം ഉറങ്ങുന്നു,I is sleeping book
4492,ni coffeeu pokunnuu,നീ കാപ്പി പോകുന്നു,you is going coffee
4493,neeu officeilu urangunnuu,നീ ഓഫീസിൽ ഉറങ്ങുന്നു,you is sleeping at office
4494,njanu vellamu pokunnuu,ഞാൻ വെള്ളം പോകുന്നു,I is going water
4495,avanu vittil kazhikkunnuu,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
4496,njanu veettilu kazhikkoonnoo,ഞാൻ വീട്ടിൽ കഴിക്കുന്നു,I is eating at home
4497,ni vellamu varunnuu,നീ വെള്ളം വരുന്നു,you is coming water
4498,avalu pusthakam padeekkunnu,അവൾ പുസ്തകം പഠിക്കുന്നു,she is studying book
4499,ni chaayau padikkoonnoo,നീ ചായ പഠിക്കുന്നു,you is studying tea
4500,nee poosthakam pani cheyyoonnoo,നീ പുസ്തകം ജോലി ചെയ്യുന്നു,you is working book
4501,njanu schoolilu padikkunnu,ഞാൻ സ്കൂളിൽ പഠിക്കുന്നു,I is studying at school
4502,nammalu vittil padikkunnuu,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
4503,neeu coffi varoonnoo,നീ കാപ്പി വരുന്നു,you is coming coffee
4504,njanu coffi panee cheyyunnu,ഞാൻ കാപ്പി ജോലി ചെയ്യുന്നു,I is working coffee
4505,njan vittil padikkoonnoo,ഞാൻ വീട്ടിൽ പഠിക്കുന്നു,I is studying at home
4506,avanu vellamu urangunnuu,അവൻ വെള്ളം ഉറങ്ങുന്നു,he is sleeping water
4507,nammalu chaya padikkunnuu,നാം ചായ പഠിക്കുന്നു,we is studying tea
4508,avan officeilu pani cheyyoonnoo,അവൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,he is working at office
4509,avanu schulil padeekkunnu,അവൻ സ്കൂളിൽ പഠിക്കുന്നു,he is studying at school
4510,ni coffi kazheekkunnu,നീ കാപ്പി കഴിക്കുന്നു,you is eating coffee
4511,avanu vellam pani cheyyoonnoo,അവൻ വെള്ളം ജോലി ചെയ്യുന്നു,he is working water
4512,njanu veetteel padikkoonnoo,ഞാൻ വീട്ടിൽ പഠിക്കുന്നു,I is studying at home
4513,avalu veetteel panee cheyyunnu,അവൾ വീട്ടിൽ ജോലി ചെയ്യുന്നു,she is working at home
4514,aval officeilu padikkunnuu,അവൾ ഓഫീസിൽ പഠിക്കുന്നു,she is studying at office
4515,nee poosthakam oorangoonnoo,നീ പുസ്തകം ഉറങ്ങുന്നു,you is sleeping book
4516,avalu coffi pokunnu,അവൾ കാപ്പി പോകുന്നു,she is going coffee
4517,nammal chaayau kazhikkoonnoo,നാം ചായ കഴിക്കുന്നു,we is eating tea
4518,njanu poosthakam varunnu,ഞാൻ പുസ്തകം വരുന്നു,I is coming book
4519,nammalu schulil pani cheyyoonnoo,നാം സ്കൂളിൽ ജോലി ചെയ്യുന്നു,we is working at school
4520,ni officeilu kazhikkoonnoo,നീ ഓഫീസിൽ കഴിക്കുന്നു,you is eating at office
4521,aval chaayau varunnuu,അവൾ ചായ വരുന്നു,she is coming tea
4522,neeu vellamu pani cheyyoonnoo,നീ വെള്ളം ജോലി ചെയ്യുന്നു,you is working water
4523,nee schoolilu kazheekkunnu,നീ സ്കൂളിൽ കഴിക്കുന്നു,you is eating at school
4524,njanu vellamu varoonnoo,ഞാൻ വെള്ളം വരുന്നു,I is coming water
4525,nammalu veetteel pani cheyyunnu,നാം വീട്ടിൽ ജോലി ചെയ്യുന്നു,we is working at home
4526,ni chaayau kazhikkunnu,നീ ചായ കഴിക്കുന്നു,you is eating tea
4527,avalu coffi urangunnu,അവൾ കാപ്പി ഉറങ്ങുന്നു,she is sleeping coffee
4528,neeu veetteel kazhikkoonnoo,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
4529,avanu vellamu kazheekkunnu,അവൻ വെള്ളം കഴിക്കുന്നു,he is eating water
4530,ni coffee panee cheyyunnu,നീ കാപ്പി ജോലി ചെയ്യുന്നു,you is working coffee
4531,nammalu chaayau padeekkunnu,നാം ചായ പഠിക്കുന്നു,we is studying tea
4532,avalu coffi pani cheyyunnu,അവൾ കാപ്പി ജോലി ചെയ്യുന്നു,she is working coffee
4533,avanu schooleel kazhikkunnu,അവൻ സ്കൂളിൽ കഴിക്കുന്നു,he is eating at school
4534,nee coffeeu panee cheyyunnu,നീ കാപ്പി ജോലി ചെയ്യുന്നു,you is working coffee
4535,nammalu officeilu varunnu,നാം ഓഫീസിൽ വരുന്നു,we is coming at office
4536,avanu chaayau varunnu,അവൻ ചായ വരുന്നു,he is coming tea
4537,avalu chaayau pokoonnoo,അവൾ ചായ പോകുന്നു,she is going tea
4538,ni chaya varunnuu,നീ ചായ വരുന്നു,you is coming tea
4539,neeu vittil pani cheyyunnu,നീ വീട്ടിൽ ജോലി ചെയ്യുന്നു,you is working at home
4540,neeu schulil pokunnuu,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
4541,ni offeeceeel kazheekkunnu,നീ ഓഫീസിൽ കഴിക്കുന്നു,you is eating at office
4542,nammalu vittil kazhikkunnuu,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
4543,nee chaya panee cheyyunnu,നീ ചായ ജോലി ചെയ്യുന്നു,you is working tea
4544,avan chaayau pokunnuu,അവൻ ചായ പോകുന്നു,he is going tea
4545,avanu veettil padeekkunnu,അവൻ വീട്ടിൽ പഠിക്കുന്നു,he is studying at home
4546,avanu schooleel pokunnuu,അവൻ സ്കൂളിൽ പോകുന്നു,he is going at school
4547,njan pusthakamu pani cheyyoonnoo,ഞാൻ പുസ്തകം ജോലി ചെയ്യുന്നു,I is working book
4548,avalu officeilu pani cheyyunnu,അവൾ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,she is working at office
4549,njanu vittil padeekkunnu,ഞാൻ വീട്ടിൽ പഠിക്കുന്നു,I is studying at home
4550,nee chaayau pokoonnoo,നീ ചായ പോകുന്നു,you is going tea
4551,neeu coffi padikkoonnoo,നീ കാപ്പി പഠിക്കുന്നു,you is studying coffee
4552,avalu veettilu pani cheyyunnu,അവൾ വീട്ടിൽ ജോലി ചെയ്യുന്നു,she is working at home
4553,nee veetteel padeekkunnu,നീ വീട്ടിൽ പഠിക്കുന്നു,you is studying at home
4554,ni schulil pani cheyyoonnoo,നീ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,you is working at school
4555,avanu coffi varunnuu,അവൻ കാപ്പി വരുന്നു,he is coming coffee
4556,avanu coffi kazhikkoonnoo,അവൻ കാപ്പി കഴിക്കുന്നു,he is eating coffee
4557,avanu vellamu varoonnoo,അവൻ വെള്ളം വരുന്നു,he is coming water
4558,njan poosthakam varoonnoo,ഞാൻ പുസ്തകം വരുന്നു,I is coming book
4559,ni poosthakam padeekkunnu,നീ പുസ്തകം പഠിക്കുന്നു,you is studying book
4560,neeu chaaya pani cheyyunnuu,നീ ചായ ജോലി ചെയ്യുന്നു,you is working tea
4561,ni chaya padeekkunnu,നീ ചായ പഠിക്കുന്നു,you is studying tea
4562,nammalu vittil varoonnoo,നാം വീട്ടിൽ വരുന്നു,we is coming at home
4563,neeu schulil varoonnoo,നീ സ്കൂളിൽ വരുന്നു,you is coming at school
4564,ni schooleel kazheekkunnu,നീ സ്കൂളിൽ കഴിക്കുന്നു,you is eating at school
4565,avalu coffeeu padikkoonnoo,അവൾ കാപ്പി പഠിക്കുന്നു,she is studying coffee
4566,njanu pusthakam kazhikkoonnoo,ഞാൻ പുസ്തകം കഴിക്കുന്നു,I is eating book
4567,avalu coffeeu kazheekkunnu,അവൾ കാപ്പി കഴിക്കുന്നു,she is eating coffee
4568,aval officeilu varunnuu,അവൾ ഓഫീസിൽ വരുന്നു,she is coming at office
4569,ni veettilu kazhikkunnu,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
4570,avanu pusthakamu pokunnu,അവൻ പുസ്തകം പോകുന്നു,he is going book
